round,cwnd,wmax,wmin
166.0,17.912608274262627,18.701217202485804,5.0
167.0,17.968434873308887,18.701217202485804,5.0
168.0,18.024088023238235,18.701217202485804,5.0
169.0,18.079569332401324,18.701217202485804,5.0
170.0,18.134880384429973,18.701217202485804,5.0
171.0,18.190022738766018,18.701217202485804,5.0
172.0,18.244997931175693,18.701217202485804,5.0
173.0,18.29980747425003,18.701217202485804,5.0
174.0,18.35445285789175,18.701217202485804,5.0
175.0,18.40893554978905,18.701217202485804,5.0
176.0,18.46325699587676,18.701217202485804,5.0
177.0,18.517418620785264,18.701217202485804,5.0
178.0,18.57142182827756,18.701217202485804,5.0
179.0,18.62526800167487,18.701217202485804,5.0
180.0,18.67895850427113,18.701217202485804,5.0
181.0,18.732494679736767,18.701217202485804,5.0
182.0,18.785877852512026,18.701217202485804,5.0
183.0,18.839109328190247,18.701217202485804,5.0
184.0,18.892190393891354,18.701217202485804,5.0
185.0,18.94512231862589,18.701217202485804,5.0
186.0,16.62316805944364,18.997906353649874,5.0
187.0,16.694596630872212,18.997906353649874,5.0
188.0,16.76358031983773,18.997906353649874,5.0
189.0,16.830222588111653,18.997906353649874,5.0
190.0,16.894621135254738,18.997906353649874,5.0
191.0,16.956868320366397,18.997906353649874,5.0
192.0,17.01705154508461,18.997906353649874,5.0
193.0,17.075816131731752,18.997906353649874,5.0
194.0,17.134378486367424,18.997906353649874,5.0
195.0,17.192740684961066,18.997906353649874,5.0
196.0,17.25090476818223,18.997906353649874,5.0
197.0,17.30887274223565,18.997906353649874,5.0
198.0,17.366646579671052,18.997906353649874,5.0
199.0,17.424228220168683,18.997906353649874,5.0
200.0,17.481619571301383,18.997906353649874,5.0
201.0,17.538822509274112,18.997906353649874,5.0
202.0,15.396359019686479,16.496098949664084,5.0
203.0,15.461309440673762,16.496098949664084,5.0
204.0,15.525987015612488,16.496098949664084,5.0
205.0,15.590395159133053,16.496098949664084,5.0
206.0,15.654537215174152,16.496098949664084,5.0
207.0,13.753614401639034,14.736015430327537,5.0
208.0,13.826322561894045,14.736015430327537,5.0
209.0,13.898648373441075,14.736015430327537,5.0
210.0,13.970597815799147,14.736015430327537,5.0
211.0,14.042176714081446,14.736015430327537,5.0
212.0,14.113390744524262,14.736015430327537,5.0
213.0,14.184245439763815,14.736015430327537,5.0
214.0,14.254746193874896,14.736015430327537,5.0
215.0,14.324898267184324,14.736015430327537,5.0
216.0,14.394706790871421,14.736015430327537,5.0
217.0,14.464176771366901,14.736015430327537,5.0
218.0,14.533313094560876,14.736015430327537,5.0
219.0,14.602120529830007,14.736015430327537,5.0
220.0,14.670603733893222,14.736015430327537,5.0
221.0,14.738767254504832,14.736015430327537,5.0
222.0,14.80661553399336,14.736015430327537,5.0
223.0,14.874152912653877,14.736015430327537,5.0
224.0,14.941383632001212,14.736015430327537,5.0
225.0,15.008311837890941,14.736015430327537,5.0
226.0,15.074941583514653,14.736015430327537,5.0
227.0,15.141276832275654,14.736015430327537,5.0
228.0,15.207321460550885,14.736015430327537,5.0
229.0,15.273079260344497,14.736015430327537,5.0
230.0,15.338553941838256,14.736015430327537,5.0
231.0,15.403749135843627,14.736015430327537,5.0
232.0,15.468668396160135,14.736015430327537,5.0
233.0,15.533315201844342,14.736015430327537,5.0
234.0,15.597692959393566,14.736015430327537,5.0
235.0,15.661805004848196,14.736015430327537,5.0
236.0,15.725654605816311,14.736015430327537,5.0
237.0,15.789244963424073,14.736015430327537,5.0
238.0,15.855950466792748,14.736015430327537,5.0
239.0,15.926582311841123,14.736015430327537,5.0
240.0,16.001335756001485,14.736015430327537,5.0
241.0,16.080411674722793,14.736015430327537,5.0
242.0,16.16401626592294,14.736015430327537,5.0
