round,cwnd,wlast_max,wctp,epoch_start,origin_point,dMin,ack_cnt
42.0,30.0,30.0,30.244444444444483,1730579065.0232186,30.0,0.02850907265591396,0.0
43.0,30.0,30.0,30.255555555555596,1730579065.0232186,30.0,0.02850907265591396,0.0
44.0,30.0,30.0,30.26666666666671,1730579065.0232186,30.0,0.02850907265591396,0.0
45.0,30.0,30.0,30.27777777777782,1730579065.0232186,30.0,0.02850907265591396,0.0
46.0,30.0,30.0,30.288888888888934,1730579065.0232186,30.0,0.02850907265591396,0.0
47.0,31.0,30.0,30.300000000000047,1730579065.0232186,30.0,0.02850907265591396,0.0
48.0,31.0,30.0,30.31075268817209,1730579065.0232186,30.0,0.02850907265591396,0.0
49.0,31.0,30.0,30.321505376344135,1730579065.0232186,30.0,0.02850907265591396,0.0
50.0,31.0,30.0,30.33225806451618,1730579065.0232186,30.0,0.02850907265591396,0.0
51.0,31.0,30.0,30.343010752688222,1730579065.0232186,30.0,0.02850907265591396,0.0
52.0,31.0,30.0,30.353763440860266,1730579065.0232186,30.0,0.02850907265591396,0.0
53.0,31.0,30.0,30.36451612903231,1730579065.0232186,30.0,0.02850907265591396,0.0
54.0,31.0,30.0,30.375268817204354,1730579065.0232186,30.0,0.02850907265591396,0.0
55.0,31.0,30.0,30.386021505376398,1730579065.0232186,30.0,0.02850907265591396,0.0
56.0,31.0,30.0,30.396774193548442,1730579065.0232186,30.0,0.02850907265591396,0.0
57.0,31.0,30.0,30.407526881720486,1730579065.0232186,30.0,0.02850907265591396,0.0
58.0,31.0,30.0,30.41827956989253,1730579065.0232186,30.0,0.02850907265591396,0.0
59.0,31.0,30.0,30.429032258064574,1730579065.0232186,30.0,0.02850907265591396,0.0
60.0,32.0,30.0,30.439784946236617,1730579065.0232186,30.0,0.02850907265591396,0.0
61.0,32.0,30.0,30.450201612903285,1730579065.0232186,30.0,0.02850907265591396,0.0
62.0,32.0,30.0,30.460618279569953,1730579065.0232186,30.0,0.02850907265591396,0.0
63.0,32.0,30.0,30.47103494623662,1730579065.0232186,30.0,0.02850907265591396,0.0
64.0,32.0,30.0,30.48145161290329,1730579065.0232186,30.0,0.02850907265591396,0.0
65.0,32.0,30.0,30.491868279569957,1730579065.0232186,30.0,0.02850907265591396,0.0
66.0,32.0,30.0,30.502284946236625,1730579065.0232186,30.0,0.02850907265591396,0.0
67.0,32.0,30.0,30.512701612903292,1730579065.0232186,30.0,0.01787804302720508,0.0
68.0,33.0,30.0,30.52311827956996,1730579065.0232186,30.0,0.01787804302720508,0.0
69.0,33.0,30.0,30.53321928967097,1730579065.0232186,30.0,0.01787804302720508,0.0
70.0,33.0,30.0,30.54332029977198,1730579065.0232186,30.0,0.01787804302720508,0.0
71.0,33.0,30.0,30.55342130987299,1730579065.0232186,30.0,0.01787804302720508,0.0
72.0,33.0,30.0,30.563522319974002,1730579065.0232186,30.0,0.01787804302720508,0.0
73.0,33.0,30.0,30.573623330075012,1730579065.0232186,30.0,0.01787804302720508,0.0
74.0,34.0,30.0,30.583724340176023,1730579065.0232186,30.0,0.01787804302720508,0.0
75.0,34.0,30.0,30.593528261744652,1730579065.0232186,30.0,0.01787804302720508,0.0
76.0,34.0,30.0,30.60333218331328,1730579065.0232186,30.0,0.01787804302720508,0.0
77.0,34.0,30.0,30.61313610488191,1730579065.0232186,30.0,0.0025453430674401423,0.0
78.0,34.0,30.0,30.62294002645054,1730579065.0232186,30.0,0.0025453430674401423,0.0
79.0,34.0,30.0,30.63274394801917,1730579065.0232186,30.0,0.0025453430674401423,0.0
80.0,35.0,30.0,30.642547869587798,1730579065.0232186,30.0,0.0025453430674401423,0.0
81.0,35.0,30.0,30.652071679111607,1730579065.0232186,30.0,0.0025453430674401423,0.0
82.0,35.0,30.0,30.661595488635417,1730579065.0232186,30.0,0.0025453430674401423,0.0
83.0,35.0,30.0,30.671119298159226,1730579065.0232186,30.0,0.0025453430674401423,0.0
84.0,35.0,30.0,30.680643107683036,1730579065.0232186,30.0,0.0025453430674401423,0.0
85.0,36.0,30.0,30.690166917206845,1730579065.0232186,30.0,0.0025453430674401423,0.0
86.0,36.0,30.0,30.699426176466105,1730579065.0232186,30.0,0.0025453430674401423,0.0
87.0,36.0,30.0,30.708685435725364,1730579065.0232186,30.0,0.0025453430674401423,0.0
88.0,36.0,30.0,30.717944694984624,1730579065.0232186,30.0,0.0025453430674401423,0.0
89.0,37.0,30.0,30.727203954243883,1730579065.0232186,30.0,0.0025453430674401423,0.0
90.0,37.0,30.0,30.736212963252893,1730579065.0232186,30.0,0.0025453430674401423,0.0
91.0,37.0,30.0,30.745221972261902,1730579065.0232186,30.0,0.0025453430674401423,0.0
92.0,37.0,30.0,30.75423098127091,1730579065.0232186,30.0,0.0025453430674401423,0.0
93.0,38.0,30.0,30.76323999027992,1730579065.0232186,30.0,0.0025453430674401423,0.0
94.0,38.0,30.0,30.772011920104482,1730579065.0232186,30.0,0.0025453430674401423,0.0
95.0,38.0,30.0,30.780783849929044,1730579065.0232186,30.0,0.0025453430674401423,0.0
96.0,38.0,30.0,30.789555779753606,1730579065.0232186,30.0,0.0025453430674401423,0.0
97.0,39.0,30.0,30.798327709578167,1730579065.0232186,30.0,0.0025453430674401423,0.0
98.0,39.0,30.0,30.806874718125176,1730579065.0232186,30.0,0.0025453430674401423,0.0
99.0,39.0,30.0,30.815421726672184,1730579065.0232186,30.0,0.0025453430674401423,0.0
100.0,39.0,30.0,30.823968735219193,1730579065.0232186,30.0,0.0025453430674401423,0.0
101.0,40.0,30.0,30.8325157437662,1730579065.0232186,30.0,0.0025453430674401423,0.0
102.0,40.0,30.0,30.840849077099534,1730579065.0232186,30.0,0.0025453430674401423,0.0
103.0,40.0,30.0,30.849182410432867,1730579065.0232186,30.0,0.0025453430674401423,0.0
